play_id,game_date,home_team,away_team,play_fileName
3429,00:00.0,NO,MIN,001_096
3453,00:00.0,NO,MIN,001_097
3485,00:00.0,NO,MIN,001_098
3507,00:00.0,NO,MIN,NULL
3531,00:00.0,NO,MIN,001_099
3555,00:00.0,NO,MIN,001_100
3580,00:00.0,NO,MIN,001_101
3604,00:00.0,NO,MIN,001_102
3629,00:00.0,NO,MIN,001_103
3650,00:00.0,NO,MIN,001_104
3674,00:00.0,NO,MIN,NULL
3695,00:00.0,NO,MIN,001_105
3716,00:00.0,NO,MIN,NULL
3733,00:00.0,NO,MIN,001_106
3754,00:00.0,NO,MIN,NULL
3771,00:00.0,NO,MIN,001_107
3792,00:00.0,NO,MIN,001_108
3813,00:00.0,NO,MIN,001_109
3834,00:00.0,NO,MIN,NULL
36,00:00.0,NE,PIT,NULL
51,00:00.0,NE,PIT,002_001
72,00:00.0,NE,PIT,002_002
101,00:00.0,NE,PIT,002_003
122,00:00.0,NE,PIT,002_004
159,00:00.0,NE,PIT,002_005
180,00:00.0,NE,PIT,002_006
199,00:00.0,NE,PIT,002_007
236,00:00.0,NE,PIT,002_008
261,00:00.0,NE,PIT,002_009
285,00:00.0,NE,PIT,NULL
305,00:00.0,NE,PIT,002_010
346,00:00.0,NE,PIT,002_011
371,00:00.0,NE,PIT,002_012
396,00:00.0,NE,PIT,002_013
418,00:00.0,NE,PIT,002_014
440,00:00.0,NE,PIT,002_015
460,00:00.0,NE,PIT,NULL
479,00:00.0,NE,PIT,002_016
500,00:00.0,NE,PIT,002_017
521,00:00.0,NE,PIT,002_018
550,00:00.0,NE,PIT,002_019
582,00:00.0,NE,PIT,002_020
606,00:00.0,NE,PIT,002_021
625,00:00.0,NE,PIT,002_022
650,00:00.0,NE,PIT,NULL
686,00:00.0,NE,PIT,002_023
707,00:00.0,NE,PIT,002_024
728,00:00.0,NE,PIT,002_025
749,00:00.0,NE,PIT,002_026
787,00:00.0,NE,PIT,002_027
812,00:00.0,NE,PIT,002_028
836,00:00.0,NE,PIT,NULL
852,00:00.0,NE,PIT,002_029
877,00:00.0,NE,PIT,002_030
898,00:00.0,NE,PIT,002_031
923,00:00.0,NE,PIT,002_032
948,00:00.0,NE,PIT,002_033
970,00:00.0,NE,PIT,002_034
994,00:00.0,NE,PIT,002_035
1019,00:00.0,NE,PIT,002_036
1040,00:00.0,NE,PIT,NULL
1056,00:00.0,NE,PIT,NULL
1071,00:00.0,NE,PIT,002_037
1092,00:00.0,NE,PIT,002_038
1114,00:00.0,NE,PIT,002_039
1139,00:00.0,NE,PIT,002_040
1165,00:00.0,NE,PIT,002_041
1186,00:00.0,NE,PIT,002_042
1208,00:00.0,NE,PIT,NULL
1228,00:00.0,NE,PIT,002_043
1253,00:00.0,NE,PIT,002_044
1274,00:00.0,NE,PIT,002_045
1299,00:00.0,NE,PIT,002_046
1324,00:00.0,NE,PIT,002_047
1345,00:00.0,NE,PIT,002_048
1366,00:00.0,NE,PIT,002_049
1388,00:00.0,NE,PIT,002_050
1413,00:00.0,NE,PIT,002_051
1434,00:00.0,NE,PIT,NULL
1450,00:00.0,NE,PIT,NULL
1473,00:00.0,NE,PIT,002_052
1498,00:00.0,NE,PIT,002_053
1536,00:00.0,NE,PIT,002_054
1562,00:00.0,NE,PIT,002_055
